,Airport_Code,Airport_Name,Latitude,Longitude,Time_Zone,City_Code,Country_Code
0,AAA,Anaa,-17.05,-145.41667,Pacific/Tahiti,AAA,PF
1,AAB,Arrabury,-26.7,141.04167,Australia/Brisbane,AAB,AU
2,AAC,El Arish International Airport,31.133333,33.75,Africa/Cairo,AAC,EG
3,AAD,Adado,17.5927778,33.9591667,Africa/Khartoum,AAD,SD
4,AAE,Les Salines Airport,36.821392,7.811857,Africa/Algiers,AAE,DZ
5,AAF,Apalachicola Regional,29.733334,-84.98333,America/New_York,AAF,US
6,AAG,Arapoti,-24.103611,-49.79,America/Sao_Paulo,AAG,BR
7,AAH,Aachen/Merzbruck,50.75,6.133333,Europe/Berlin,AAH,DE
8,AAI,Arraias,-12.916667,-46.933334,America/Araguaina,AAI,BR
9,AAJ,Cayana Airstrip,3.9,-55.36667,America/Paramaribo,AAJ,SR
10,AAK,Aranuka,0.166667,173.58333,Pacific/Tarawa,AAK,KI
11,AAL,Aalborg Airport,57.08655,9.872241,Europe/Copenhagen,AAL,DK
12,AAM,Mala Mala,-24.8,31.533333,Africa/Johannesburg,AAM,ZA
13,AAN,Al Ain Airport,24.260231,55.616627,Asia/Dubai,AAN,AE
14,AAO,Anaco,9.431944,-64.46389,America/Caracas,AAO,VE
15,AAP,Andrau Airpark,29.833332,-95.666664,America/Chicago,HOU,US
16,AAQ,Anapa Airport,44.9,37.316666,Europe/Moscow,AAQ,RU
17,AAR,Aarhus Airport,56.30823,10.626351,Europe/Copenhagen,AAR,DK
18,AAS,Apalapsili,-3.916667,139.25,Asia/Jayapura,AAS,ID
19,AAT,Altay Airport,47.750362,88.08444,Asia/Shanghai,AAT,CN
20,AAU,Asau,-13.458333,-172.6,Pacific/Apia,AAU,WS
21,AAV,Allah Valley,6.333333,124.76667,Asia/Manila,AAV,PH
22,AAW,Abbottabad,34.2,73.25,Asia/Karachi,AAW,PK
23,AAX,Araxa Airport,-19.568056,-46.92917,America/Sao_Paulo,AAX,BR
24,AAY,Al Ghaydah,16.19596,52.173256,Asia/Aden,AAY,YE
25,AAZ,Quetzaltenango,14.87,-91.5,America/Guatemala,AAZ,GT
26,ABA,Abakan Airport,53.716667,91.5,Asia/Krasnoyarsk,ABA,RU
27,ABB,Asaba International Airport,51.666668,-1.283333,Africa/Lagos,ABB,NG
28,ABC,Los Llanos,38.948334,-1.863333,Europe/Madrid,ABC,ES
29,ABD,Abadan Airport,30.363905,48.226597,Asia/Tehran,ABD,IR
30,ABE,Lehigh Valley International Airport,40.651573,-75.434364,America/New_York,ABE,US
31,ABF,Abaiang,1.670833,173.30417,Pacific/Tarawa,ABF,KI
32,ABG,Abingdon,-17.666668,143.2,Australia/Brisbane,ABG,AU
33,ABH,Alpha,-23.65,146.63333,Australia/Brisbane,ABH,AU
34,ABI,Abilene Regional Airport,32.409443,-99.679726,America/Chicago,ABI,US
35,ABJ,Felix Houphouet Boigny Airport,5.254879,-3.933015,Africa/Abidjan,ABJ,CI
36,ABK,Kabri Dar,6.733889,44.26611,Africa/Addis_Ababa,ABK,ET
37,ABL,Ambler Airport,67.0875,-157.84584,America/Anchorage,ABL,US
38,ABM,Northern Peninsula Airport,-10.942619,142.45033,Australia/Brisbane,ABM,AU
39,ABN,Albina,5.5,-54.083332,America/Paramaribo,ABN,SR
40,ABO,Aboisso,5.433333,-3.216667,Africa/Abidjan,ABO,CI
41,ABP,Atkamba,-6.066667,141.1,Pacific/Port_Moresby,ABP,PG
42,ABQ,Albuquerque International Sunport,35.049625,-106.617195,America/Denver,ABQ,US
43,ABR,Aberdeen Municipal Airport,45.4525,-98.42611,America/Chicago,ABR,US
