,Airport_Code,Airport_Name
0,AAA,Anaa
1,AAB,Arrabury
2,AAC,El Arish International Airport
3,AAE,Les Salines
4,AAF,Apalachicola Regional
5,AAG,Arapoti
6,AAH,Aachen/Merzbruck
7,AAI,Arraias
8,AAJ,Cayana Airstrip
9,AAK,Aranuka
10,AAL,Aalborg
11,AAM,Mala Mala
12,AAN,Al Ain
13,AAO,Anaco
14,AAQ,Anapa
15,AAR,Aarhus Airport
16,AAS,Apalapsili
17,AAT,Altay
18,AAU,Asau
19,AAV,Allah Valley
20,AAW,Abbottabad
21,AAX,Araxa
22,AAY,Al Ghaydah
23,AAZ,Quetzaltenango
24,ABA,Abakan
25,ABB,RAF Station
26,ABC,Los Llanos
27,ABD,Abadan
28,ABE,Lehigh Valley International
29,ABF,Abaiang
30,ABG,Abingdon
31,ABH,Alpha
32,ABI,Municipal
33,ABJ,Felix Houphouet Boigny
34,ABK,Kabri Dar
35,ABL,Ambler
36,ABM,Bamaga Injinoo
37,ABN,Albina
38,ABO,Aboisso
39,ABP,Atkamba
40,ABQ,Albuquerque International
41,ABR,Municipal
42,ABS,Abu Simbel
43,ABT,Al-Aqiq
44,ABU,Atambua
45,ABV,Nnamdi Azikiwe International Airport
46,ABW,Abau
47,ABX,Albury
48,ABY,Dougherty County
49,ABZ,Dyce
50,ACA,General Juan N. Alvarez International
51,ACB,Antrim County
52,ACC,Kotoka
53,ACD,Acandi
54,ACE,Lanzarote
55,ACH,Altenrhein
56,ACI,The Blaye
57,ACJ,Anuradhapura
58,ACK,Nantucket Memorial
59,ACL,Aguaclara
60,ACM,Arica
61,ACN,International
62,ACP,Sahand
63,ACR,Araracuara
64,ACS,Achinsk
65,ACT,Municipal
66,ACU,Achutupo
67,ACV,Arcata
68,ACX,Xingyi
69,ACY,Atlantic City International
70,ACZ,Zabol Airport
71,ADA,Adana
72,ADB,Adnan Menderes Airport
73,ADC,Andakombe
74,ADD,Bole International
75,ADE,International
76,ADF,Adiyaman
77,ADG,Lenawee County
78,ADH,Aldan
79,ADI,Arandis
80,ADJ,Marka International Airport
81,ADK,Adak Island Ns
82,ADL,Adelaide International Airport
83,ADM,Ardmore Municipal Airport
84,ADN,Andes
85,ADO,Andamooka
86,ADP,Ampara
87,ADQ,Kodiak Airport
88,ADR,Andrews
89,ADS,Addison Airport
90,ADT,Ada Municipal
91,ADU,Ardabil
92,ADW,Andrews AFB
93,ADX,Leuchars
94,ADY,Alldays
95,ADZ,San Andres Island
96,AEA,Abemama Atoll
97,AEB,Youjiang
98,AED,Aleneva
99,AEE,Adareil
100,AEG,Aek Godang
101,AEH,Abéché
102,AEI,Algeciras
103,AEK,Aseki
104,AEL,Albert Lea
105,AEO,Aioun El Atrouss
106,AEP,Aeroparque Jorge Newbery
107,AER,Sochi/Adler International Airport
108,AES,Vigra
109,AET,Allakaket
110,AEU,Abu Musa
111,AEX,Alexandria International
112,AEY,Akureyri
113,AFA,San Rafael
114,AFD,Port Alfred
115,AFF,USAF Academy Airstrip
116,AFI,Amalfi
117,AFK,Kondavattavan Tank
118,AFL,Alta Floresta
119,AFN,Municipal
120,AFO,Municipal
121,AFR,Afore
122,AFS,Zarafshan
123,AFT,Afutara Aerodrome
124,AFW,Fort Worth Alliance
