,City_Code,Country_Code,City_Name
0,AAA,PF,Anaa
1,AAB,AU,Arrabury
2,AAC,EG,El Arish
3,AAE,DZ,Annaba
4,AAF,US,Apalachicola
5,AAG,BR,Arapoti
6,AAH,DE,Aachen
7,AAI,BR,Arraias
8,AAJ,SR,Awaradam
9,AAK,KI,Aranuka
10,AAL,DK,Aalborg
11,AAM,ZA,Mala Mala
12,AAN,AE,Al Ain
13,AAO,VE,Anaco
14,AAQ,RU,Anapa
15,AAR,DK,Aarhus
16,AAS,ID,Apalapsili
17,AAT,CN,Altay
18,AAU,WS,Asau
19,AAV,PH,Surallah
20,AAW,PK,Abbottabad
21,AAX,BR,Araxa
22,AAY,YE,Al Ghaydah
23,AAZ,GT,Quetzaltenango
24,ABA,RU,Abakan
25,ABB,NG,Asaba
26,ABC,ES,Albacete
27,ABD,IR,Abadan
28,ABE,US,Allentown
29,ABF,KI,Abaiang
30,ABG,AU,Abingdon
31,ABH,AU,Alpha
32,ABI,US,Abilene
33,ABJ,CI,Abidjan
34,ABK,ET,Kabri Dar
35,ABL,US,Ambler
36,ABM,AU,Bamaga
37,ABN,SR,Albina
38,ABO,CI,Aboisso
39,ABP,PG,Atkamba
40,ABQ,US,Albuquerque
41,ABR,US,Aberdeen
42,ABS,EG,Abu Simbel
43,ABT,SA,Al-Baha
44,ABU,ID,Atambua
45,ABV,NG,Abuja
46,ABW,PG,Abau
47,ABX,AU,Albury
48,ABY,US,Albany
49,ABZ,GB,Aberdeen
50,ACA,MX,Acapulco
51,ACB,US,Bellaire
52,ACC,GH,Accra
53,ACD,CO,Acandi
54,ACE,ES,Arrecife
55,ACH,CH,Altenrhein
56,ACI,GG,Alderney
57,ACJ,LK,Anuradhapura
58,ACK,US,Nantucket
59,ACL,CO,Aguaclara
60,ACM,CO,Arica
61,ACN,MX,Acuna
62,ACP,IR,Sahand
63,ACR,CO,Araracuara
64,ACS,RU,Achinsk
65,ACT,US,Waco
66,ACU,PA,Achutupo
67,ACV,US,Arcata
68,ACX,CN,Xingyi
69,ACZ,IR,Zabol
70,ADA,TR,Adana
71,ADC,PG,Andakombe
72,ADD,ET,Addis Ababa
73,ADE,YE,Aden
74,ADF,TR,Adiyaman
75,ADG,US,Adrian
76,ADH,RU,Aldan
77,ADI,NA,Arandis
78,ADK,US,Adak Island
79,ADL,AU,Adelaide
80,ADM,US,Ardmore
81,ADN,CO,Andes
82,ADO,AU,Andamooka
83,ADP,LK,Ampara
84,ADQ,US,Kodiak
85,ADR,US,Andrews
86,ADT,US,Ada
87,ADU,IR,Ardabil
88,ADW,US,Camp Springs
89,ADX,GB,St Andrews
90,ADY,ZA,Alldays
91,ADZ,CO,San Andres Island
92,AEA,KI,Abemama Atoll
93,AEB,CN,Baise
94,AED,US,Aleneva
95,AEE,SS,Adareil
96,AEG,ID,Aek Godang
97,AEH,TD,Abéché
98,AEI,ES,Algeciras
99,AEK,PG,Aseki
100,AEL,US,Albert Lea
101,AEO,MR,Aioun El Atrouss
102,AER,RU,Sochi
103,AES,NO,Aalesund
104,AET,US,Allakaket
105,AEU,IR,Abu Musa
106,AEX,US,Alexandria
107,AEY,IS,Akureyri
108,AFA,AR,San Rafael
109,AFD,ZA,Port Alfred
110,AFI,CO,Amalfi
111,AFL,BR,Alta Floresta
112,AFN,US,Jaffrey
113,AFO,US,Afton
114,AFR,PG,Afore
115,AFS,UZ,Zarafshan
116,AFT,SB,Afutara
117,AFY,TR,Afyon
118,AFZ,IR,Sabzevar
119,AGA,MA,Agadir
120,AGD,ID,Anggi
121,AGE,DE,Wangerooge
122,AGF,FR,Agen
123,AGG,PG,Angoram
124,AGH,SE,Angelholm
125,AGI,SR,Wageningen
126,AGJ,JP,Aguni
127,AGK,PG,Kagua
128,AGL,PG,Wanigela
129,AGM,GL,Tasiilaq
130,AGN,US,Angoon
131,AGO,US,Magnolia
132,AGP,ES,Malaga
133,AGQ,GR,Agrinion
134,AGR,IN,Agra
135,AGS,US,Augusta
136,AGT,PY,Ciudad Del Este
137,AGU,MX,Aguascalientes
138,AGV,VE,Acarigua
139,AGW,AU,Agnew
140,AGX,IN,Agatti Island
141,AGZ,ZA,Aggeneys
142,AHB,SA,Abha
143,AHC,US,Herlong
144,AHE,PF,Ahe
145,AHF,US,Arapahoe
146,AHH,US,Amery
147,AHI,ID,Amahai
148,AHL,GY,Aishalton
149,AHM,US,Ashland
150,AHN,US,Athens
151,AHO,IT,Alghero
152,AHS,HN,Ahuas
153,AHT,US,Amchitka
154,AHU,MA,Al Hoceima
155,AHW,OM,Saih Rawl
156,AHY,MG,Ambatolahy
157,AHZ,FR,Alpe D Huez
158,AIA,US,Alliance
159,AIB,US,Anita Bay
160,AIC,MH,Airok
161,AID,US,Anderson
162,AIE,PG,Aiome
163,AIF,BR,Assis
164,AIG,CF,Yalinga
165,AIH,PG,Aiambak
166,AII,DJ,Alisabieh
167,AIK,US,Aiken
168,AIL,PA,Ailigandi
169,AIM,MH,Ailuk Island
170,AIN,US,Wainwright
171,AIO,US,Atlantic
172,AIP,MH,Ailinglapalap Island
173,AIR,BR,Aripuana
174,AIS,KI,Arorae Island
175,AIT,CK,Aitutaki
176,AIU,CK,Atiu Island
177,AIV,US,Aliceville
178,AIW,NA,Ai-ais
179,AIY,US,Atlantic City
180,AIZ,US,Kaiser
181,AJA,FR,Ajaccio
182,AJF,SA,Sakaka Al Jouf
183,AJI,TR,Agri
184,AJJ,MR,Akjoujt
185,AJK,IR,Araak
186,AJL,IN,Aizawl
187,AJN,KM,Anjouan
188,AJR,SE,Arvidsjaur
189,AJS,MX,Abreojos
190,AJU,BR,Aracaju
191,AJY,NE,Agades
192,AKA,CN,Ankang
193,AKB,US,Atka
194,AKD,IN,Akola
195,AKE,GA,Akieni
196,AKF,LY,Kufrah
197,AKG,PG,Anguganak
198,AKH,SA,Al Kharj
199,AKI,US,Akiak
200,AKJ,JP,Asahikawa
201,AKK,US,Akhiok
202,AKL,NZ,Auckland
203,AKM,TD,Zakouma
204,AKN,US,King Salmon
205,AKO,US,Akron
206,AKP,US,Anaktuvuk
207,AKQ,ID,Astraksetra
208,AKR,NG,Akure
209,AKS,SB,Auki
210,AKT,CY,Akrotiri
211,AKU,CN,Aksu
212,AKV,CA,Akulivik
213,AKW,IR,Aghajari
214,AKX,KZ,Aktyubinsk
215,AKY,MM,Sittwe
216,ALA,KZ,Almaty
217,ALB,US,Albany
218,ALC,ES,Alicante
219,ALD,PE,Alerta
220,ALE,US,Alpine
221,ALF,NO,Alta
222,ALG,DZ,Algiers
223,ALH,AU,Albany
224,ALI,US,Alice
225,ALJ,ZA,Alexander Bay
226,ALK,ET,Asela
227,ALL,IT,Albenga
228,ALM,US,Alamogordo
229,ALN,US,Alton
230,ALO,US,Waterloo
231,ALP,SY,Aleppo
232,ALQ,BR,Alegrete
233,ALR,NZ,Alexandra
234,ALS,US,Alamosa
235,ALT,BR,Alenquer
236,ALU,SO,Alula
237,ALW,US,Walla Walla
238,ALX,US,Alexander City
239,ALY,EG,Alexandria
240,ALZ,US,Alitak
241,AMA,US,Amarillo
242,AMB,MG,Ambilobe
243,AMC,TD,Am Timan
244,AMD,IN,Ahmedabad
245,AME,MZ,Alto Molocue
246,AMF,PG,Ama
247,AMG,PG,Amboin
248,AMH,ET,Arba Mintch
249,AMI,ID,Mataram
250,AMJ,BR,Almenara
251,AML,PA,Puerto Armuellas
252,AMM,JO,Amman
253,AMN,US,Alma
254,AMO,TD,Mao
255,AMP,MG,Ampanihy
256,AMQ,ID,Ambon
257,AMR,MH,Arno
258,AMS,NL,Amsterdam
259,AMT,AU,Amata
260,AMU,PG,Amanab
261,AMV,RU,Amderma
262,AMW,US,Ames
263,AMX,AU,Ammaroo
264,AMY,MG,Ambatomainty
265,AMZ,NZ,Ardmore
266,ANA,US,Anaheim
267,ANB,US,Anniston
268,ANC,US,Anchorage
269,AND,US,Anderson
270,ANE,FR,Angers
271,ANF,CL,Antofagasta
272,ANG,FR,Angouleme
273,ANH,SB,Anuha Island Resort
274,ANI,US,Aniak
275,ANJ,CG,Zanaga
276,ANK,TR,Ankara
277,ANL,AO,Andulo
278,ANM,MG,Antalaha
279,ANN,US,Annette Island
280,ANO,MZ,Angoche
281,ANP,US,Annapolis
282,ANQ,US,Angola
283,ANR,BE,Antwerp
284,ANS,PE,Andahuaylas
285,ANT,AT,St Anton
286,ANU,AG,St. John's
287,ANV,US,Anvik
288,ANW,US,Ainsworth
289,ANX,NO,Andenes
290,ANY,US,Anthony
291,ANZ,AU,Angus Downs
292,AOA,PG,Aroa
293,AOB,PG,Annanberg
294,AOC,DE,Altenburg
295,AOD,TD,Abou Deia
296,AOG,CN,Anshan
297,AOH,US,Lima
298,AOI,IT,Ancona
299,AOJ,JP,Aomori
300,AOK,GR,Karpathos
301,AOL,AR,Paso De Los Libres
302,AOM,OM,Adam
303,AON,PG,Arona
304,AOO,US,Martinsburg
305,AOP,PE,Andoas
306,AOR,MY,Alor Setar
307,AOS,US,Amook
308,AOT,IT,Aosta
309,AOU,LA,Attopeu
310,APB,BO,Apolo
311,APC,US,Napa
312,APE,PE,San Juan Aposento
313,APF,US,Naples
314,APG,US,Aberdeen
315,APH,US,Bowling Green
316,API,CO,Apiay
317,APK,PF,Apataki
318,APL,MZ,Nampula
319,APN,US,Alpena
320,APO,CO,Apartado
321,APP,PG,Asapa
322,APQ,BR,Arapiraca
323,APR,PG,April River
324,APS,BR,Anapolis
