,Country,Currency,Average_Cost,Average_Hotel_1p,Average_Hotel_double,Average_Food_Cost,Average_Transport_Cost,Average_Entertainment_Cost,Average_Tip_Cost,Average_Scam_Cost,Average_Alcohol_Cost,Average_Water_Cost,Description
0,Andorra,EUR,132,55,110,36,31,21,NA,NA,609,NA, Andorra On a Budget Andorra Andorra is a small mountain covered country in the Pyrenees Mountains nestled between France and Spain This lesser known country is very much a hidden gem thanks to their stunning scenery amazing ski resorts and ancient cathedrals The official language is Catalan although Spanish French and English are widely spoken Andorra experiences quite cold and snowy winters which run November through March although this makes for perfect ski conditions Throughout summer from June through August temperatures warm up to the low 70 s Fahrenheit making for great trekking weather Related Looking for a party in Barcelona or Madrid Traveling alone to Granada or Seville Find a Contiki tour to Europe Top Tourist Attractions Andorra is covered in ancient churches and lovely old villages which are only made better by the stunning natural scenery surrounding them One such ancient church can be found in La Vella called the Church of San Esteve This church dates back to the 12th Century and is open for touring July August In Encamp you ll find the Complex at les Bon a stunning medieval complex consisting of the Church of Sant Roma a defense tower and an ancient water tank and irrigation channel cut from the rock In Canillo you ll find the Sant Joan de Caselles an incredible church dating back to the 11th and 12th Centuries which offers free guided tours Be sure to check before you go though as the church is only open July August Canillo is also home to the Meritxell Sanctuary which is dedicated to the patron saint of Andorra the Virgin of Meritxell Spend the day visiting the Sanctuary then getting lost wandering through Canillo s old town full of gorgeous architecture Cities Although Andorra is a very small country they do have quite a few villages some of which are dedicated homes to the country s ski resorts Andorra la Vella Also called La Vella the country s capital and home to many churches and buildings dating back to the 12th through 16th Centuries Sant Julia de Loria On the border of Spain and most famous for being home to the Museu del Tabac Escaldes Engordany A lovely place to walk about and enjoy the natural scenery along with the famous Roc del Metge hot spa Encamp Near the French border and the village of the medieval Complex at le Bons La Massana A popular area for skiing and exploring ancient architecture in the Pal Village Ordino One of the least inhabited but largest villages in the country where you ll find ski resorts churches and ancient squares Canillo Near the boarder of France boasting stunning ancient architecture and churches Arinsal A small village full of ski resorts and the starting point of treks to the tallest mountain in the country the Coma Pedrosa Activities Andorra is best known for their many ski resorts with two primary Alpine skiing areas Vallnord and Grandvalira Vallnord has three different ski areas all accessible by cable car while Grandvalira has six different skiing areas You needn t worry which resort you stay in though as you can purchase a ski pass allowing you access to all ski areas in Andorra During the summer Andorra is a popular hiking destination thanks to the Coma Pedrosa Mountain When hiking the Coma Pedrosa you ll find incredible lakes the valley of Tor and many mountain huts The Pic de Medecourbe Mountain offers a less strenuous hike while still getting amazing views of lakes forests and the Valley of Arinsal Popular Foods Andorra s favorite ingredient is lamb which can be found in dozens of various dishes The country also offers a great infusion of French and Spanish cuisine with plenty of cheese and wine involved You ll be able to find great food options in all of the villages with La Vella offering the widest range of options For some authentic cuisine head to Plato restaurant in La Vella where you ll find local food in a fantastic setting right downtown Transportation There are just two entrances in and out of Andorra with one in France and the other in Spain There are no airports or train stations inside of the country although you can easily fly into Perpignan Airport France or Lleida Airport Spain then take a bus into the country You may also rent a car from either France or Spain which you can easily drive into and around Andorra To get around there are eight bus lines running throughout the country which stop at the majority of villages When in each village you can easily get around on foot 
1,United Arab Emirates,AED,730,498,996,150,57,56,886,NA,66,328, The United Arab Emirates On a Budget Dubai The United Arab Emirates UAE is a federation made up of seven emirates on the Arabian peninsula The seven emirates include Abu Dhabi Dubai Sharjah Ajman Umm al Quwain Ra s al Khaymah and Fujairah Abu Dhabi is the largest but Dubai is the most well known and frequently visited The United Arab Emirates is a very modern country immersed in culture and history The infrastructure in the country if very good but perhaps a little overcrowded Imports from the west are readily available in shops It s a very clean and modern country to visit and many people enjoy seeing this pristine side of the Middle East while others see it as little more than a Disney World style experience Part of the appeal in visiting the UAE is to see the extreme and impressive luxury resorts that are popping up in areas like Dubai and Abu Dhabi To simply visit these resorts is a very unique experience The two most famous resorts are the sail shaped Burj al Arab in Dubai and the Emirates Palace in Abu Dhabi Both Abu Dhabi and Dubai have large expat communities so you will find many different European and Indian restaurants and brands for sale There are many large shopping malls and supermarkets where you can find anything you might be looking for There are also many western chains around including KFC McDonalds and even Ikea English is widely spoken particularly in the tourism industry so you should have very little trouble communicating Alcohol is available in most hotels bars and restaurants There is a law that requires a license to purchase alcohol but this law is often overlooked The license is a statement that the individual is a non Muslim A trip to the UAE really offers a glimpse into a world where cultures are colliding Conservatism meets modernism and technology is integrated with traditional values It s a fascinating place to visit particularly if you can take the time to get outside of the major cities and see what else the country has to offer At A GlanceThe weekend here is on Friday and Saturday Many businessmen work a half day on Thursdays but they do often work the entire day on Saturday Businesses are closed on Friday mornings but many open in the afternoon after services and by the evening you will find many people out and about socializing During Ramadan the schedule changes dramatically Restaurants are closed during daylight hours and most offices and shops close down in the afternoon The fast is broken after the sunset during a meal that is referred to as iftar Some businesses open back up between the hours of 8 00PM and midnight Dubai has a major international airport and many connecting flights to Africa or Asia have a layover in this city A great way to conveniently explore the city is to extend your layover to several days This allows you time to see what you want to see but you don t have to buy an additional plane ticket to reach the area Public transportation is challenging in both Dubai and Abu Dhabi The systems are not well established and you will likely end up taking taxis to most places Prices are cheap however You can expect to pay about US 2 00 to most places within the city An additional US 3 may be added to the total during evening hours after 10 00 PM If you plan to travel between cities renting a car is a popular option Rental cars cost slightly less than you would expect to pay in the United States The beaches in the area are quite impressive and worth a visit The water is strikingly blue and very clean Recent construction has made the water somewhat more cloudy but it is still a very beautiful place to visit and not to be missed while you re in the area There is also some excellent snorkeling and diving in the Indian Ocean The water is very warm and clear The beaches can range from very touristy to almost isolated even near Dubai Wearing a bathing suit in public is not recommended so your best option if you plan to swim or sunbath is to pay for access to a private beach near a hotel Related Looking for a hostel in Delhi or Goa Heading to Kathmandu or want a party in Tel Aviv Top Tourist Attractions Fujairah This city is located about two hours by car from Dubai It s a midsized town that is surrounded by beautiful countryside There s a fort overlooking the town that is 300 years old If you make the trip to the area make sure you take time to explore the surrounding hills Liwa Oasis This area offers some of the largest sand dunes in the world It s located to the south of Abu Dhabi and there are several small villages that are clustered together in the area Hatta Stop off at the Hatta Pools where you can see deep canyons that have been carved out by rushing floodwater Swimming in a bathing suit in public is not advised Instead consider buying a one day pass to a hotel where you can swim in privacy Popular Foods In cities like Dubai and to a lesser extent Abu Dhabi you can find restaurants that serve any number of western cuisines The large expat community throughout the country means that the cuisine takes on a multicultural flare Rice is a common stable It is often well seasoned and served with a meat such as lamb on top Most of the high end restaurants are found in hotels but if you eat elsewhere you will find that most food options are quite affordable Al Harees This is a popular dish that is made with whipped wheat and meat It is usually prepared for special occasions such as Ramadan or during weddings Al Majboos This is a delicious and filling dish that is made with meat and rice The meat is prepared with a range of spices and vegetables It is then served layered with rice and saffron Al Madrooba This is a traditional Middle Eastern dish made from salt cured fish This fish is cleaned and prepared with a light flower It is then served with ghee on top 
2,Afghanistan,AFN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Afghanistan On a Budget 
3,Antigua and Barbuda,XCD,762,486,972,179,51,236,NA,NA,51,NA, Antigua and Barbuda On a Budget Antigua Barbuda Antigua and Barbuda are the two main islands that form one country which is located between the Caribbean Sea and the North Atlantic Ocean off the coast of South America There are very few natural resources available on the islands so tourism along with investment banking and financial services are the dominant parts of the economy The islands have beautiful white sand beaches making this country a quintessential Caribbean destination Antigua is the larger and more popular island for tourists There are many high end resorts to accommodate those who flock to the island for a bit of luxurious relaxation Barbuda also has beautiful beaches but the infrastructure for tourism is much more limited The beaches are often deserted and the wildlife is impressive Specifically on the northwestern part of the island there is a large but shallow lagoon Along its border is a beach that runs for miles In this lagoon you ll find the frigate bird colony The eastern side of the island has narrower beaches but some beautiful cliffs The country s climate is tropical marine and there is little seasonal temperature variation Hurricanes and tropical storms are not uncommon between the months of July and October At A GlanceMost visitors get around the island with a taxi or tour operator If you re on a tight budget there is a decent bus service but it can be slow and eat away at your time It also has limited access and does not travel to many of the island s nicest locations If you re going to be on Antigua for at least a week you can usually get a good rate for a rental car and this is recommended On Sunday evenings there s a festive party hosted at Shirley Heights Lookout Local bands play Antiguan music and you can see a brilliant sunset over English Harbour If you want to eat barbecue you need to get there by 7 pm To see the sunset you should come even earlier Once the sun goes down the party quiets down Antigua offers some absolutely amazing scuba diving as there are many reefs off the eastern coastline The water is clear and snorkeling is also an option The best snorkeling and dive sites are reached by boat so it s best to arrange trips through a dive shop They know the best sites and you will get to see the more impressive reefs with the greatest diversity of marine life The best shopping options are found in the city of St Johns on Antigua There are a variety of merchants who sell most things you could need on the island If you re looking for duty free shopping then head to Heritage Quay near the cruise ship piers You have to have your airline tickets or cruise ship ID card to qualify for the duty free purchases Here you can pick up everything from jewelry to liquor or tobacco There are plenty of local drinks made from local produce This includes pineapple guava mauby seamoss passion fruit and hibiscus Local alcoholic drinks include Wadadli and English Harbour rum Carib Beer is regional to the area Rum is the most popular alcohol available and is often served as rum punch International drinks are available as well Related Looking for a party hostel in Costa Rica or Cancun Looking for a budget hostel in Mexico or Costa Rica Top Tourist Attractions Shirley Heights This area of military buildings offers stunning views over the English Harbor Sea View Farm Village The best place to check out traditional Antigua Pottery Harmony Hall Art Gallery This gallery has constantly changing exhibits and is a great place to explore the Antigua art scene Popular Foods Fungie Similar to polenta this is the national dish and comprised mostly of cornmeal Ducana A sweet potato dumpling dish 
4,Anguilla,XCD,781,478,956,201,56,265,NA,NA,62,NA, Anguilla On a Budget Anguilla is a flat low lying island just north of Saint Martin The island has many caves and coral reefs making snorkeling and diving a popular activity in the area Two of the most popular caves are The Big Springs located in Island Harbour and The Fountain located in Shoal Bay Related Looking for a party hostel in Costa Rica or Cancun Looking for a budget hostel in Mexico or Costa Rica Top Tourist Attractions Shoal Bay East This surprisingly quiet beach will take your breathaway Scrub Island This island has plenty of vegetation goats and no facilities so come prepared Prickly Pear Cays With nurse sharks and barracuda this is the best scuba diving spot in Anguilla Popular Foods Lobster Need we say more Mutton Stew A popular dish made with island vegetables Pumpkin Soup Locally homemade pumpkin soup is a treat 
5,Albania,ALL,5149,1975,3950,1550,1140,471,4475,NA,665,151, Albania On a Budget Gjirokaster Albania Albania is a small Balkan country near Greece and Macedonia The majority of Albanians are Muslims but the country is actually more religiously diverse than many people realize Other religious groups include Orthodox Atheists and Catholics Albania is home to many amazing sights and activities It has beaches small towns with European charm UNESCO Heritage sites stunning landscapes with great hiking castles bars and restaurants and more For more information check out this great guide of beautiful places to visit in Albania RelatedLooking for a party in Athens or Istanbul Traveling alone to Athens or Santorini 
6,Armenia,AMD,9156,4014,8028,4009,1142,523,NA,NA,5154,NA, Armenia On a Budget Yerevan Armenia Armenia sounds like duduk tastes like an apricot and intoxicates like a brandy No one can even imagine that a small country may have such a rich culture and history that counts thousands of years Once you get acquainted with this country you will fall in love with Armenia and its nation The Republic of Armenia Hayastan is one of the countries of the South Caucasus It is located on the Armenian Highlands Armenia locates only the tiniest part of its historical lands that once covered 400 000 sq km The first settlements found on the territory date back to 90 000 BC Armenia was the first in many things Here is a fact in 4th century BC it has adopted details of Hellenistic civilization without interacting with Greek culture During that period throughout the territory of Armenia were built Hellenistic theatres and temples The ancient territory of Armenia is called the Cradle of Civilization Scientifically it was proved that first men appeared on the intersection of Euphrates and Tigris rivers on the land called Eden on the Armenian Highlands In the Old Testament Noah s Ark landed on Mount Ararat and his descendants emigrated those lands In fact Armenians are the descendants of Noah s son Japheth Another fact about Armenia It was the first country in the world to adopt Christianity as a state religion The transition from paganism to Christianity was rather dramatic all the pagan temples were ruined and Armenia has lost an invaluable part of history and culture The capital of Armenia is Yerevan a beautiful ancient city built of pink tuff Besides of being so beautiful and romantic it is one of the oldest cities Well it is older than Rome for sure Yerevan has appeared on the place of Erebuni fortress also called Arin Berd Fortress of Blood The fortress was built in 782 BC by Urartian king Argishti I That was just the brief historical info about Armenia if you are interested in more detailed information you ll need to travel around the country with an experienced guide Try to find some relable tour operators that will arrange a high quality journey for you May be here you will be able to find some options that will be suitable for you araratour com Top Tourist Attractions Armenia is often described as a museum on the open air Almost all popular and important attractions are associated with religion such as ancient monasteries churches and holy places In fact if you spend three days in Armenia then you ll most likely end up seeing many of these stunningly beautiful places Yet in the great list of Christian churches there is a single piece of a pagan temple that has not been demolished Garni temple is built in the classic Greek style and looks like a small copy of famous Parthenon in Athens The temple to sun god Mithra is a unique architectural masterpiece that presents the high level of development of civilization One of the most impressing and mystic places in Armenia is Karahunj so called Armenian Stonehenge The stone monument presents more than a hundred symmetrically placed stones Most of them have perfectly polished holes at the top There are many theories about the origin and the purpose of the stone monument There is a theory that it is an observatory of 5th century BC There is another theory that proves Karahunj is older than Stonehenge and is part of the group of similar monuments spread across the world Among the most important Christian monasteries to be visited is Mother See of Holy Etchmiadzin the first church built right after the adoption of Christianity In the museum of Etchmiadzin are kept priceless relicts like the piece of Noah s Ark and the spear that pierced Christ Every single Armenian Church and monastery is unique in its own way One of such unique architectural masterpiece is IX century Tatev monastery built on the edge of the deepest Vorotan gorge These are only the smallest part of the things you will see in Armenia Cultural tours will be spiced up with amazing views of mountain ranges and highest peaks rocky gorges waterfalls and lakes Popular Foods National cuisine of Armenia is as old as the nation Everything starts with the bread Traditional Armenian bread is lavash oval shaped pita bread that is made in tandyr In 2014 lavash was included in the list of UNESCO Intangible Cultural Heritage The process of baking is a ritual Women gather around tandyr sing songs and treat everyone with hot lavash with greens and Armenian cheese The next attribute of traditional Armenian table is tolma the most popular national dish It is made of minced meat with spices and grape leaves Next to tolma you may see a large plate of barbecue assortment lamb pork veal and fish khorovats The distinguishing feature of national cuisine is meat almost all dishes are made of veal and lamb They are super tasty and fatty Armenia is a mountainous land with cold winters People cooked fatty meat dishes that could satisfy and warm on a cold day Armenia can be proud of not only tasty cuisine but also the sweetest fruits Hot sun and fertile land give juicy fruits and the queen of the fruits is Armenian apricot With June starts the sweet parade of seasonal fruits and finishes in October with the grape harvest As a conclusion let us say that today s Armenia presents a deep contrast between modern technologies and the traditions of thousands of years This amazing contrast is the key that makes the country so attractive 
7,Angola,AOA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Angola On a Budget 
8,Argentina,ARS,2665,995,1990,466,353,372,120,NA,96,69, Argentina On a Budget Refugio Frey San Carlos de Bariloche Argentina Argentina is a large elongated country in South America It s large size impressive cities popular festivals and vibrant culture make it a top travel destination in South America It is very diverse and has both the highest and lowest points in South America Cerro Aconcagua is the tallest mountain and Salinas Chicas 40m below sea level is the lowest point in South America Because of its large size you can experience a wide variety of landscapes throughout the country that provide impressive beauty coupled with traditional towns Patagonia is a stunningly beautiful area in the southern part of the country It is an area that is absolutely not to be missed It has perhaps some of the most dramatic landscape in South America if not the world Argentina also has some captivating cities that are filled with life culture and festivities The country is relatively easy to travel around with an extensive bus system and a few trains connecting cities It s possible to rent a car if you re looking for a more flexible travel experience but it is definitely not necessary You can also fly between most major cities although during the peak seasons it is recommended that you book your plane tickets well in advance as they often sell out There are any number of activities and things you can do throughout the country If you re in the area during the winter months there are some great ski opportunities in the Andes Mountains Las Lenas and San Carlos de Bariloche are probably the most popular places to go Football or soccer is also very popular If you can purchase tickets to a game it s definitely an experience to be had Wine is also very popular in Argentina You can visit the wine regions in either Mendoza are Salta both of which are quite nice Although Argentina is one of the more expensive countries in South America there are some good tips you can use to save money Many of the bus trips between cities are very long If you take an overnight bus this will save you one night s accommodation It can be a little uncomfortable however Also look out for restaurants that have all you can eat buffets These options are very filling and often a good deal for food Also make sure you pay for everything in the local currency This will help ensure you re not overcharged for your items At A GlanceArgentina has a range of landscapes from jungle in the far northeast to the rolling plateau of Patagonia in the south The Andes Mountains run along the border with Chile and in the central part of the country is La Pampa or the plain Each area has something unique and interesting to offer travelers so if you can visit every area it is well worth it Beginning in 2009 the government began charging Airport Entry Fees also known as Reciprocity Visitors arriving at the airport from certain countries are charged a fee based on their country of citizenship At the time of writing this fee was only being collected at the two Buenos Aires Airports for incoming international flights It was not collected at other airports in Argentina It is also not collected for those arriving by land or sea Citizens from the United States are charged US 160 Australia US 140 and Canada US 75 Buses are convenient and efficient throughout the country They are also not as cheap as they once were You can expect to pay about four or five U S dollars for every hour of travel time Still this system is more affordable than flying and more far reaching than the train system Football is a popular activity and if you have the opportunity to go to a match then you should not pass this up The five elite teams in the tournaments are referred to as the Los 5 grandes and include Boca Juniors River Plate Racing Club Independiente and San Lorenzo Fashion and art are of great popularity in Argentina If you have the opportunity to do any shopping you ll find some great stores with high end fashion If you re in the city definitely take some time to wander through some of the top shopping areas Related Looking for a party hostel in Rio Sao Paulo Lima or Buenos Aires Traveling alone through Argentina Top Tourist Attractions Parque Nacional Iguazu This park is on the Argentinian side of the Iguazu Falls Exploring the area requires plenty of walking but is well worth the effort The park was established in 1939 and is one of the largest forest preservation areas in South America In 1986 it was listed as a Natural Heritage Site of Humanity Eco Yoga Park Near Buenos Aires this park offers many unique features at a convenient location Many visitors choose to spend some time volunteering here which can be a unique experience Parque General San Martin Located in the city of Mendoza Argentina this park offers both a lake and a beautiful rose garden that are very interesting to explore It was created in 1986 and has continued to grow in popularity since then Popular Foods Food in Argentina is heavily based on beef It s one of the largest beef producing countries in the area and you can find delicious and hearty steaks and barbecue throughout the country Although breakfast is usually a light meal lunch is very hearty Dinner is generally not served until 10PM at night but there is also a tea that is prepared in the mid afternoon Most restaurants do not begin serving dinner until late in the evening so make sure you eat plenty at lunch Chorizo This is a popular pork sausage dish It is occasionally made with beef instead of pork It s often grilled and served with a side of bread although it can be prepared in a variety of styles Chimichurri This is an herb garlic and vinegar sauce that is often served with meat It is most commonly found in the Patagonia area although it is available elsewhere Sandwiches de miga This is a popular light crustless sandwich made with buttered bread cured meat and cheese It s often served at parties and is similar to a tea time sandwich in England 
9,American Samoa,USD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, American Samoa On a Budget 
