,Country,Dist_KM,Dist_Miles,Dist_NM,FlightTime_Hr,FlightSpeed_mph
0,Andorra,7463.49,4637.6,4027.29,8.18,567.0
1,United Arab Emirates,2604.76,1618.52,1405.52,2.85,567.0
2,Afghanistan,1851.46,1150.44,999.05,2.03,567.0
3,Antigua and Barbuda,14026.59,8715.72,7568.73,15.37,567.0
4,Anguilla,14035.16,8721.04,7573.36,15.38,567.0
5,Albania,5934.13,3687.3,3202.05,6.5,567.0
6,Armenia,3872.86,2406.48,2089.79,4.24,567.0
7,Angola,7554.08,4693.88,4076.17,8.28,567.0
8,Argentina,15925.89,9895.89,8593.59,17.45,567.0
9,American Samoa,12701.29,7892.22,6853.6,13.92,567.0
10,Austria,6430.02,3995.43,3469.63,7.05,567.0
11,Australia,7813.08,4854.82,4215.93,8.56,567.0
12,Aruba,15005.01,9323.68,8096.68,16.44,567.0
13,Azerbaijan,3681.21,2287.4,1986.38,4.03,567.0
14,Bosnia and Herzegovina,6158.99,3827.02,3323.39,6.75,567.0
15,Barbados,14125.51,8777.18,7622.11,15.48,567.0
16,Bangladesh,1222.27,759.48,659.53,1.34,567.0
17,Belgium,7171.06,4455.89,3869.5,7.86,567.0
18,Burkina Faso,8560.2,5319.06,4619.07,9.38,567.0
19,Bulgaria,5516.88,3428.03,2976.9,6.05,567.0
20,Bahrain,2947.45,1831.46,1590.44,3.23,567.0
21,Burundi,5972.29,3711.01,3222.64,6.54,567.0
22,Benin,8263.81,5134.9,4459.14,9.06,567.0
23,Bermuda,12978.12,8064.23,7002.98,14.22,567.0
24,Brunei,4256.2,2644.68,2296.64,4.66,567.0
25,Bolivia,16043.71,9969.1,8657.16,17.58,567.0
26,Brazil,14774.6,9180.51,7972.35,16.19,567.0
27,Bahamas,14333.74,8906.57,7734.47,15.71,567.0
28,Bhutan,1394.69,866.62,752.57,1.53,567.0
29,Botswana,7579.25,4709.53,4089.75,8.31,567.0
30,Belarus,5647.71,3509.32,3047.5,6.19,567.0
31,Belize,15595.91,9690.85,8415.53,17.09,567.0
32,Canada,11468.56,7126.23,6188.42,12.57,567.0
33,Central African Republic,6426.35,3993.15,3467.65,7.04,567.0
34,Switzerland,6905.57,4290.92,3726.24,7.57,567.0
35,Ivory Coast,9144.78,5682.3,4934.51,10.02,567.0
36,Cook Islands,13950.17,8668.23,7527.49,15.29,567.0
37,Chile,16691.0,10371.31,9006.44,18.29,567.0
38,Cameroon,7289.9,4529.74,3933.62,7.99,567.0
