,Currency,RatiotoUSD
0,USD,1.0
1,EUR,0.82022971
2,GBP,0.7465556
3,INR,73.59868924
4,AUD,1.31619881
5,CAD,1.28485215
6,SGD,1.32859339
7,CHF,0.88956331
8,MYR,4.05944824
9,JPY,103.50274186
10,CNY,6.54284846
11,NZD,1.39821328
12,THB,30.00538092
13,HUF,296.85929985
14,AED,3.6725
15,HKD,7.75367485
16,MXN,19.86878484
17,ZAR,14.60755068
18,PHP,48.11739582
19,SEK,8.27753508
20,IDR,14107.556007
21,SAR,3.75
22,BRL,5.20019062
23,TRY,7.58529584
24,KES,108.77254372
25,KRW,1100.10529108
26,EGP,15.56379881
27,IQD,1187.85400277
28,NOK,8.61787848
29,KWD,0.30537659
30,RUB,74.26426265
31,DKK,6.11188687
32,PKR,160.31263786
33,ILS,3.2218269
34,PLN,3.69645883
35,QAR,3.64
36,XAU,0.0005345
37,OMR,0.3845
38,COP,3514.94837244
39,CLP,714.77523321
40,TWD,28.03775301
41,ARS,83.26864123
42,CZK,21.46523626
43,VND,23135.5093051
44,MAD,8.95508887
45,JOD,0.709
46,BHD,0.376
47,XOF,538.03541855
48,LKR,189.83987614
49,UAH,28.44777147
50,NGN,379.96565718
51,TND,2.6839375
52,UGX,3646.59399005
53,RON,3.99668588
54,BDT,84.84434537
55,PEN,3.60988291
56,GEL,3.27029973
57,XAF,538.03541855
58,FJD,2.04791433
59,VEF,9.9875
60,VES,1036376.82661416
61,BYN,2.58004466
62,HRK,6.19826179
63,UZS,10473.79247647
64,BGN,1.60422987
65,DZD,132.19883117
66,IRR,42025.45902308
67,DOP,58.09087702
68,ISK,127.72924506
69,XAG,0.03872488
70,CRC,606.81585275
71,SYP,512.83174252
72,LYD,1.34109466
73,JMD,143.39630683
74,MUR,39.49864122
75,GHS,5.86889656
76,AOA,650.23763259
77,UYU,42.28191272
78,AFN,77.15843508
79,LBP,1507.50003882
80,XPF,97.87943998
81,TTD,6.79811437
82,TZS,2319.10946197
83,ALL,100.69383591
84,XCD,2.70003261
85,GTQ,7.80179541
86,NPR,118.30989208
87,BOB,6.89073767
88,ZWD,361.89999379
89,BBD,2.0
90,CUC,1.0
91,LAK,9288.70790358
92,BND,1.32859339
93,BWP,10.81844883
94,HNL,24.18217247
95,PYG,6974.49288462
96,ETB,38.79888973
97,NAD,14.60755068
98,PGK,3.50875723
99,SDG,55.11551664
100,MOP,7.9862851
101,NIO,34.87111814
102,BMD,1.0
103,KZT,419.63740223
104,PAB,1.0
105,BAM,1.60422987
106,GYD,210.04603999
107,YER,250.39344949
108,MGA,3939.92559057
109,KYD,0.82000447
110,MZN,74.61009677
111,RSD,96.34787038
112,SCR,21.41835032
113,AMD,522.56998035
114,SBD,8.02565169
115,AZN,1.69999879
116,SLL,10013.38789962
117,TOP,2.28049982
118,BZD,2.01641349
119,MWK,769.62452098
120,GMD,51.79314041
121,BIF,1940.5802102
122,SOS,577.12402707
123,HTG,71.02710543
124,GNF,9995.48204212
125,MVR,15.39706901
126,MNT,2850.08279491
127,CDF,1971.5870645
128,STN,20.26408685
129,TJS,11.29999281
130,KPW,900.000009
131,MMK,1352.96137539
132,LSL,14.60755068
133,LRD,162.49664526
134,KGS,83.20012439
135,GIP,0.7465556
136,XPT,0.00097536
137,MDL,17.24067877
138,CUP,26.49999997
139,KHR,4030.47685378
140,MKD,50.53559493
141,VUV,108.66034819
142,MRU,38.29596277
143,ANG,1.78753553
144,SZL,14.60755068
145,CVE,90.44672969
146,SRD,14.15262356
147,XPD,0.00042745
148,SVC,8.75
149,BSD,1.0
150,XDR,0.69395
151,RWF,991.02458762
152,AWG,1.79
153,DJF,177.9994591
154,BTN,73.59868924
155,KMF,403.52656391
156,WST,2.57069069
157,SPL,0.16666667
158,ERN,14.99999999
159,FKP,0.7465556
160,SHP,0.7465556
161,JEP,0.7465556
162,TMT,3.49999986
163,TVD,1.31619881
164,IMP,0.7465556
165,GGP,0.7465556
166,ZMW,21.16199275
