,City_Code,Flight_Price
0,AAR,587
1,AAR,692
2,ABJ,472
3,ABJ,491
4,ABJ,682
5,ABJ,721
6,ABQ,898
7,ABU,547
8,ABV,477
9,ABV,508
10,ABV,573
11,ABZ,306
12,ACC,444
13,ACC,453
14,ACC,465
15,ACE,437
16,ADA,274
17,ADB,1165
18,ADD,354
19,ADD,354
20,ADD,361
21,ADD,363
22,ADD,811
23,ADD,816
24,ADD,816
25,ADD,816
26,ADL,439
27,ADL,519
28,ADL,555
29,ADL,666
30,ADL,891
31,ADL,1031
32,AER,752
33,AGA,326
34,AGA,468
35,AGP,376
36,AGP,382
37,AGP,399
38,AGP,428
39,AGR,38
40,AGR,51
41,AGR,179
42,AHB,280
43,AHB,532
44,AIP,31
45,AIP,33
46,AIP,125
47,AJL,65
48,AJL,70
49,AJL,94
50,AKL,457
51,AKL,459
52,AKL,464
53,AKL,465
54,AKL,469
55,AKL,576
56,AKL,589
57,AKL,591
58,AKL,596
59,AKL,774
60,AKL,1078
61,AKX,431
62,ALA,314
63,ALA,347
64,ALA,349
65,ALA,354
66,ALA,366
67,ALA,378
68,ALA,389
69,ALA,396
70,ALB,994
71,ALB,1000
72,ALC,386
73,ALG,584
74,ALG,668
75,AMD,25
76,AMD,26
77,AMD,26
78,AMD,26
79,AMD,29
80,AMD,29
81,AMD,29
82,AMD,29
83,AMD,29
84,AMD,35
85,AMD,36
86,AMD,42
87,AMD,43
88,AMM,221
89,AMM,221
90,AMM,231
91,AMM,302
92,AMM,462
93,AMS,207
94,AMS,214
95,AMS,289
96,AMS,289
97,AMS,289
98,AMS,289
99,AMS,293
100,AMS,301
101,AMS,355
102,AMS,448
103,AMS,450
104,AMS,453
105,AMS,453
106,AMS,454
107,AMS,454
108,AMS,499
109,AMS,527
110,AMS,539
111,ANC,825
112,ANR,470
113,ANR,485
114,ANR,511
115,ANR,527
116,ANR,554
117,ANR,585
118,ANR,620
119,ANU,1219
120,AOR,172
121,AQI,402
122,ARH,381
123,ARH,468
124,ARN,272
125,ARN,296
126,ARN,353
127,ARN,369
128,ARN,378
129,ASB,599
130,ASR,261
131,ASR,402
132,ASU,710
133,ASU,1395
134,ATH,181
135,ATH,206
136,ATH,210
137,ATH,220
138,ATH,263
139,ATH,268
140,ATH,346
141,ATL,543
142,ATL,567
143,ATL,573
144,ATL,596
145,ATL,607
146,ATQ,33
147,ATQ,33
148,ATQ,33
149,ATQ,34
150,ATQ,35
151,ATQ,35
152,ATQ,42
153,ATQ,43
154,ATQ,55
155,ATQ,107
156,AUA,688
157,AUH,74
158,AUH,74
159,AUH,74
160,AUH,75
161,AUH,75
162,AUH,75
163,AUH,110
164,AUH,110
165,AUH,138
