,Class,
0,[1.0],1
1,[3.0],3
2,[2.0],2
3,[3.0],3
4,[3.0],3
5,[1.0],1
6,[3.0],3
7,[3.0],3
8,[3.0],3
9,[1.0],1
10,[1.0],1
11,[3.0],3
12,[2.0],2
13,[2.0],2
14,[1.0],1
15,[2.0],2
16,[3.0],3
17,[2.0],2
18,[3.0],3
19,[1.0],1
20,[1.0],1
21,[2.0],2
22,[1.0],1
23,[1.0],1
24,[3.0],3
25,[2.0],2
26,[1.0],1
27,[2.0],2
28,[2.0],2
29,[1.0],1
30,[2.0],2
31,[2.0],2
32,[1.0],1
33,[1.0],1
34,[1.0],1
35,[2.0],2
36,[2.0],2
37,[3.0],3
38,[2.0],2
39,[1.0],1
40,[1.0],1
41,[1.0],1
42,[2.0],2
43,[2.0],2
44,[1.0],1
45,[2.0],2
46,[3.0],3
47,[2.0],2
48,[1.0],1
49,[1.0],1
50,[1.0],1
51,[3.0],3
52,[1.0],1
53,[1.0],1
54,[2.0],2
55,[1.0],1
56,[2.0],2
57,[3.0],3
58,[2.0],2
59,[2.0],2
60,[3.0],3
61,[3.0],3
62,[1.0],1
63,[1.0],1
64,[1.0],1
65,[3.0],3
66,[2.0],2
67,[2.0],2
68,[2.0],2
69,[3.0],3
70,[3.0],3
71,[3.0],3
72,[3.0],3
73,[2.0],2
74,[1.0],1
75,[3.0],3
76,[1.0],1
77,[3.0],3
78,[1.0],1
79,[3.0],3
80,[3.0],3
81,[3.0],3
82,[2.0],2
83,[1.0],1
84,[3.0],3
85,[2.0],2
86,[1.0],1
87,[3.0],3
88,[1.0],1
89,[2.0],2
90,[2.0],2
91,[3.0],3
92,[1.0],1
93,[1.0],1
94,[3.0],3
95,[3.0],3
96,[1.0],1
97,[3.0],3
98,[2.0],2
99,[3.0],3
100,[1.0],1
101,[1.0],1
102,[2.0],2
103,[3.0],3
104,[2.0],2
105,[3.0],3
106,[2.0],2
107,[2.0],2
108,[1.0],1
109,[3.0],3
110,[1.0],1
111,[1.0],1
112,[3.0],3
113,[3.0],3
114,[3.0],3
115,[1.0],1
116,[3.0],3
117,[1.0],1
118,[1.0],1
119,[1.0],1
120,[1.0],1
121,[3.0],3
122,[2.0],2
123,[3.0],3
124,[1.0],1
125,[1.0],1
126,[2.0],2
127,[3.0],3
128,[2.0],2
129,[1.0],1
130,[2.0],2
131,[1.0],1
132,[2.0],2
133,[3.0],3
134,[2.0],2
135,[1.0],1
136,[3.0],3
137,[1.0],1
138,[1.0],1
139,[2.0],2
140,[2.0],2
141,[3.0],3
142,[1.0],1
143,[2.0],2
144,[3.0],3
145,[3.0],3
146,[3.0],3
147,[3.0],3
148,[1.0],1
149,[3.0],3
150,[1.0],1
151,[2.0],2
152,[1.0],1
153,[1.0],1
154,[2.0],2
155,[3.0],3
156,[1.0],1
157,[2.0],2
158,[2.0],2
159,[2.0],2
160,[1.0],1
161,[3.0],3
162,[3.0],3
163,[1.0],1
164,[3.0],3
165,[2.0],2
166,[2.0],2
167,[1.0],1
168,[2.0],2
169,[2.0],2
170,[1.0],1
171,[1.0],1
172,[3.0],3
173,[3.0],3
174,[1.0],1
175,[3.0],3
176,[3.0],3
177,[1.0],1
178,[3.0],3
179,[2.0],2
180,[2.0],2
181,[1.0],1
182,[1.0],1
183,[3.0],3
184,[3.0],3
185,[1.0],1
186,[1.0],1
187,[1.0],1
188,[2.0],2
189,[3.0],3
190,[3.0],3
191,[1.0],1
192,[3.0],3
193,[2.0],2
194,[2.0],2
195,[3.0],3
196,[3.0],3
197,[1.0],1
198,[2.0],2
199,[1.0],1
200,[2.0],2
201,[3.0],3
202,[3.0],3
203,[3.0],3
204,[2.0],2
205,[2.0],2
206,[3.0],3
207,[1.0],1
208,[2.0],2
209,[3.0],3
210,[2.0],2
211,[3.0],3
212,[3.0],3
213,[1.0],1
214,[3.0],3
215,[1.0],1
216,[1.0],1
217,[1.0],1
218,[1.0],1
219,[3.0],3
220,[1.0],1
221,[1.0],1
222,[1.0],1
223,[1.0],1
224,[1.0],1
225,[2.0],2
226,[2.0],2
227,[3.0],3
228,[1.0],1
229,[2.0],2
230,[2.0],2
231,[1.0],1
232,[2.0],2
233,[2.0],2
234,[3.0],3
235,[1.0],1
236,[2.0],2
237,[1.0],1
238,[1.0],1
239,[1.0],1
240,[3.0],3
241,[1.0],1
242,[1.0],1
243,[3.0],3
244,[3.0],3
245,[1.0],1
246,[2.0],2
247,[3.0],3
248,[1.0],1
249,[3.0],3
250,[2.0],2
251,[3.0],3
252,[2.0],2
253,[2.0],2
254,[2.0],2
255,[3.0],3
256,[1.0],1
257,[3.0],3
258,[3.0],3
259,[1.0],1
260,[1.0],1
261,[1.0],1
262,[1.0],1
263,[2.0],2
264,[3.0],3
265,[3.0],3
266,[1.0],1
267,[1.0],1
268,[3.0],3
269,[3.0],3
270,[2.0],2
271,[2.0],2
272,[3.0],3
273,[2.0],2
274,[2.0],2
275,[3.0],3
276,[3.0],3
277,[2.0],2
278,[1.0],1
279,[1.0],1
280,[2.0],2
281,[1.0],1
282,[3.0],3
283,[3.0],3
284,[3.0],3
285,[1.0],1
286,[3.0],3
287,[2.0],2
288,[3.0],3
289,[2.0],2
290,[2.0],2
291,[3.0],3
292,[3.0],3
293,[3.0],3
294,[3.0],3
295,[1.0],1
296,[2.0],2
297,[1.0],1
298,[3.0],3
299,[1.0],1
300,[2.0],2
301,[2.0],2
302,[3.0],3
303,[3.0],3
304,[2.0],2
305,[2.0],2
306,[2.0],2
307,[3.0],3
308,[1.0],1
309,[2.0],2
310,[3.0],3
311,[2.0],2
312,[2.0],2
313,[1.0],1
314,[2.0],2
315,[2.0],2
316,[2.0],2
317,[2.0],2
318,[1.0],1
319,[3.0],3
320,[1.0],1
321,[1.0],1
322,[3.0],3
323,[3.0],3
324,[3.0],3
325,[2.0],2
326,[1.0],1
327,[2.0],2
328,[1.0],1
329,[1.0],1
330,[2.0],2
331,[3.0],3
332,[2.0],2
333,[3.0],3
334,[1.0],1
335,[1.0],1
336,[3.0],3
337,[3.0],3
338,[1.0],1
339,[2.0],2
340,[2.0],2
341,[1.0],1
342,[1.0],1
343,[1.0],1
344,[1.0],1
345,[3.0],3
346,[3.0],3
347,[1.0],1
348,[3.0],3
349,[1.0],1
350,[1.0],1
351,[1.0],1
352,[1.0],1
353,[2.0],2
354,[3.0],3
355,[3.0],3
356,[3.0],3
357,[3.0],3
358,[1.0],1
359,[2.0],2
360,[3.0],3
361,[3.0],3
362,[1.0],1
363,[3.0],3
364,[2.0],2
365,[3.0],3
366,[1.0],1
367,[2.0],2
368,[1.0],1
369,[1.0],1
370,[2.0],2
371,[1.0],1
372,[1.0],1
373,[1.0],1
374,[1.0],1
375,[3.0],3
376,[2.0],2
377,[1.0],1
378,[2.0],2
379,[2.0],2
380,[3.0],3
381,[3.0],3
382,[3.0],3
383,[1.0],1
384,[1.0],1
385,[1.0],1
386,[2.0],2
387,[1.0],1
388,[2.0],2
389,[1.0],1
390,[3.0],3
391,[3.0],3
392,[2.0],2
393,[3.0],3
394,[2.0],2
395,[3.0],3
396,[2.0],2
397,[1.0],1
398,[1.0],1
399,[2.0],2
400,[1.0],1
401,[3.0],3
402,[2.0],2
403,[2.0],2
404,[1.0],1
405,[1.0],1
406,[1.0],1
407,[2.0],2
408,[2.0],2
409,[2.0],2
410,[3.0],3
411,[1.0],1
412,[2.0],2
413,[3.0],3
414,[1.0],1
415,[3.0],3
416,[1.0],1
417,[2.0],2
418,[3.0],3
419,[2.0],2
420,[1.0],1
421,[2.0],2
422,[1.0],1
423,[3.0],3
424,[2.0],2
425,[1.0],1
