news_headline,news_article,news_category,full_text,clean_text
OnePlus launches new brand campaign featuring Robert Downey Jr.,"OnePlus has unveiled its latest brand campaign featuring Robert Downey Jr. Commenting on the association, Robert said, ""It's cool to see a young brand disrupting the tech landscape...In checking out the upcoming OnePlus 7 Pro the attention to detail coupled with the innovative design was truly impressive."" ""Nobody could represent what we stand for better,"" added OnePlus founder, Pete Lau.",technology,"OnePlus launches new brand campaign featuring Robert Downey Jr.. OnePlus has unveiled its latest brand campaign featuring Robert Downey Jr. Commenting on the association, Robert said, ""It's cool to see a young brand disrupting the tech landscape...In checking out the upcoming OnePlus 7 Pro the attention to detail coupled with the innovative design was truly impressive."" ""Nobody could represent what we stand for better,"" added OnePlus founder, Pete Lau.",oneplus launch new brand campaign feature robert downey jr oneplus unveil late brand campaign feature robert downey jr comment association robert say cool see young brand disrupt tech landscape check upcoming oneplus pro attention detail couple innovative design truly impressive nobody could represent stand well add oneplus founder pete lau
OnePlus 7 Pro goes on sale in India,"A few days after its official launch, OnePlus 7 Pro is available for sale at a starting price of ₹48,999 on Amazon India, OnePlus online, offline and partner stores. Buyers can avail up to ₹2,000 cashback on purchase using SBI debit and credit cards, along with benefits from Jio worth ₹9,300, and buyback value of 70% on exchange through Servify.",technology,"OnePlus 7 Pro goes on sale in India. A few days after its official launch, OnePlus 7 Pro is available for sale at a starting price of ₹48,999 on Amazon India, OnePlus online, offline and partner stores. Buyers can avail up to ₹2,000 cashback on purchase using SBI debit and credit cards, along with benefits from Jio worth ₹9,300, and buyback value of 70% on exchange through Servify.",oneplus pro go sale india day official launch oneplus pro available sale start price amazon india oneplus online offline partner store buyer avail cashback purchase use sbi debit credit card along benefit jio worth buyback value exchange servify
Microsoft unveils world's first whisky developed with AI,"Microsoft has unveiled world's first whisky developed with artificial intelligence (AI). The software giant worked with Finnish technology firm Fourkind and Sweden-based distillery Mackmyra. ""With [Mackmyra's] dataset, the AI can generate over 70 million recipes that it predicts will be popular and of the highest quality based on what kind of cask types there are in warehouse,"" Microsoft said.",technology,"Microsoft unveils world's first whisky developed with AI. Microsoft has unveiled world's first whisky developed with artificial intelligence (AI). The software giant worked with Finnish technology firm Fourkind and Sweden-based distillery Mackmyra. ""With [Mackmyra's] dataset, the AI can generate over 70 million recipes that it predicts will be popular and of the highest quality based on what kind of cask types there are in warehouse,"" Microsoft said.",microsoft unveil world first whisky develop ai microsoft unveil world first whisky develop artificial intelligence ai software giant work finnish technology firm fourkind sweden base distillery mackmyra [ mackmyra ] dataset ai generate million recipe predict popular high quality base kind cask type warehouse microsoft say
"₹1,000 tech bypasses rules, sends 1L WhatsApp texts a day: Reuters","Indian digital marketers are using ₹1,000 software tools that allow to bypass WhatsApp forwarding restrictions amid the ongoing elections, Reuters reported. New Delhi-based Rohitash Repswal said he sent up to 1,00,000 messages a day for two politicians. Repswal added he charges ₹1.5 lakh a month for sending 3 lakh messages. We work to ban users of such software, WhatsApp responded.",technology,"₹1,000 tech bypasses rules, sends 1L WhatsApp texts a day: Reuters. Indian digital marketers are using ₹1,000 software tools that allow to bypass WhatsApp forwarding restrictions amid the ongoing elections, Reuters reported. New Delhi-based Rohitash Repswal said he sent up to 1,00,000 messages a day for two politicians. Repswal added he charges ₹1.5 lakh a month for sending 3 lakh messages. We work to ban users of such software, WhatsApp responded.",tech bypass rule send l whatsapp text day reuter indian digital marketer use software tool allow bypass whatsapp forward restriction amid ongoing election reuter report new delhi base rohitash repswal say send message day two politician repswal add charge lakh month send lakh message work ban user software whatsapp respond
EC orders Twitter to remove all tweets on Lok Sabha exit polls,"Ahead of the last phase of the 2019 Lok Sabha elections on May 19, the Election Commission has ordered Twitter India to remove all the tweets related to exit polls. This comes amid leaks of exit polls being shared on the platform. The seven-phase election began from April 11 and the results are to be announced on May 23.",technology,"EC orders Twitter to remove all tweets on Lok Sabha exit polls. Ahead of the last phase of the 2019 Lok Sabha elections on May 19, the Election Commission has ordered Twitter India to remove all the tweets related to exit polls. This comes amid leaks of exit polls being shared on the platform. The seven-phase election began from April 11 and the results are to be announced on May 23.",ec order twitter remove tweet lok sabha exit poll ahead last phase lok sabha election may election commission order twitter india remove tweet relate exit poll come amid leak exit poll share platform seven phase election begin april result announce may
Laptop running 6 malware that caused $95bn loss being sold as art,"A website is conducting live bidding for a laptop running six malware including ILOVEYOU and WannaCry that have caused financial damages totalling $95 billion. The website stated the laptop's internet functions and ports will be disabled before shipping as it's intended to be sold as ""art or for academic reasons"". The minimum bid currently is $615,301 (over ₹4.31 crore).",technology,"Laptop running 6 malware that caused $95bn loss being sold as art. A website is conducting live bidding for a laptop running six malware including ILOVEYOU and WannaCry that have caused financial damages totalling $95 billion. The website stated the laptop's internet functions and ports will be disabled before shipping as it's intended to be sold as ""art or for academic reasons"". The minimum bid currently is $615,301 (over ₹4.31 crore).",laptop run malware cause bn loss sell art website conduct live bidding laptop run six malware include iloveyou wannacry cause financial damage total billion website state laptop internet function port disable shipping intend sell art academic reason minimum bid currently crore
Warren Buffett's Berkshire reveals $861 million Amazon stake,"Warren Buffett's Berkshire Hathaway on Wednesday revealed it owned $861 million of Amazon shares as of March. Earlier this month, Buffett said the Amazon investment was made by one of his portfolio managers, Todd Combs or Ted Weschler, and that he had been ""an idiot"" for not investing in Amazon himself. The Amazon stake would now be worth $904 million.",technology,"Warren Buffett's Berkshire reveals $861 million Amazon stake. Warren Buffett's Berkshire Hathaway on Wednesday revealed it owned $861 million of Amazon shares as of March. Earlier this month, Buffett said the Amazon investment was made by one of his portfolio managers, Todd Combs or Ted Weschler, and that he had been ""an idiot"" for not investing in Amazon himself. The Amazon stake would now be worth $904 million.",warren buffett berkshire reveal million amazon stake warren buffett berkshire hathaway wednesday reveal million amazon share march earlier month buffett say amazon investment make one portfolio manager todd comb ted weschler idiot not invest amazon amazon stake would worth million
Faulty Pixel smartphone owners to get up to $500 from Google,"As part of $7.25-million lawsuit settlement, Google will pay up to $500 to the owners of Pixel and Pixel XL devices with faulty microphones. Owners who got another defective smartphone in replacement of a defective Pixel could get $500, while owners of a single defective device could get $350. Users who experienced no issues could also get up to $20.",technology,"Faulty Pixel smartphone owners to get up to $500 from Google. As part of $7.25-million lawsuit settlement, Google will pay up to $500 to the owners of Pixel and Pixel XL devices with faulty microphones. Owners who got another defective smartphone in replacement of a defective Pixel could get $500, while owners of a single defective device could get $350. Users who experienced no issues could also get up to $20.",faulty pixel smartphone owner get google part million lawsuit settlement google pay owner pixel pixel xl device faulty microphone owner get another defective smartphone replacement defective pixel could get owner single defective device could get user experience no issue could also get
Intel says nearly all CPUs made since 2011 exposed to hacking,"Intel has disclosed a new set of security flaws existing in almost all of its processors made since 2011, which could let hackers read nearly all data flowing through them. While Intel classified the threat as ""medium"", security researchers said the vulnerability is much more serious. Intel said fixing it in existing chips could slow them by up to 19%.",technology,"Intel says nearly all CPUs made since 2011 exposed to hacking. Intel has disclosed a new set of security flaws existing in almost all of its processors made since 2011, which could let hackers read nearly all data flowing through them. While Intel classified the threat as ""medium"", security researchers said the vulnerability is much more serious. Intel said fixing it in existing chips could slow them by up to 19%.",intel say nearly cpus make since expose hacking intel disclose new set security flaw exist almost processor make since could let hacker read nearly datum flow intel classify threat medium security researcher say vulnerability much serious intel say fix exist chip could slow
Facebook interns highest paid in US at ₹5.6 lakh a month: Glassdoor,"Facebook is the highest stipend paying company to interns in the US in 2019, with a median monthly pay of $8,000 (₹5.6 lakh), Glassdoor survey has found. Facebook is followed by Amazon and Salesforce, with median monthly pays of $7,725 (₹5.41 lakh) and $7,667 (₹5.37 lakh) respectively. Google is fourth-highest stipend paying company in the US at $7,500 (₹5.25 lakh).",technology,"Facebook interns highest paid in US at ₹5.6 lakh a month: Glassdoor. Facebook is the highest stipend paying company to interns in the US in 2019, with a median monthly pay of $8,000 (₹5.6 lakh), Glassdoor survey has found. Facebook is followed by Amazon and Salesforce, with median monthly pays of $7,725 (₹5.41 lakh) and $7,667 (₹5.37 lakh) respectively. Google is fourth-highest stipend paying company in the US at $7,500 (₹5.25 lakh).",facebook intern highest pay us lakh month glassdoor facebook high stipend pay company intern us median monthly pay lakh glassdoor survey find facebook follow amazon salesforce median monthly pay lakh lakh respectively google fourth high stipend pay company us lakh
